Flow Card?,Bags Checked,Meal Type,Date,Flight Number,Class,Price,From,To
Yes,0,Egg Free,2024-07-22,PA010,Economy,2380.0,Tokyo,New York
Yes,1,Vegan,2024-04-20,PA002,Economy,3490.0,New York,London
Yes,1,Vegetarian,2024-01-23,PA010,Premium Economy,825.0,Tokyo,New York
Yes,3,Vegan,2024-06-05,PA006,First Class,618.0,Tokyo,London
Yes,1,Nut Free,2024-03-30,PA004,First Class,446.0,Perth,London
Yes,3,Egg Free,2024-06-14,PA006,Premium Economy,1062.5,Tokyo,London
Yes,1,Egg Free,2024-07-15,PA006,First Class,499.0,Tokyo,London
Yes,0,Vegetarian,2024-02-25,PA004,Premium Economy,827.5,Perth,London
Yes,1,Vegan,2024-07-26,PA004,Economy,2245.0,Perth,London
Yes,2,Vegetarian,2024-12-10,PA004,Business Class,391.2,Perth,London
Yes,2,Vegetarian,2024-09-23,PA005,First Class,626.0,London,Tokyo
Yes,2,Dairy Free,2024-06-04,PA006,First Class,537.0,Tokyo,London
Yes,0,Vegan,2024-04-16,PA008,First Class,216.0,Perth,New York
Yes,3,,2024-06-21,PA004,Business Class,646.8,Perth,London
Yes,3,Nut Free,2024-10-20,PA003,Economy,2215.0,London,Perth
Yes,3,Vegan,2024-02-17,PA003,Business Class,784.8,London,Perth
Yes,2,Dairy Free,2024-05-28,PA005,Economy,1505.0,London,Tokyo
Yes,1,Dairy Free,2024-06-19,PA003,First Class,454.0,London,Perth
Yes,3,Vegan,2024-02-11,PA012,Premium Economy,1142.5,Tokyo,Perth
Yes,3,Vegetarian,2024-01-17,PA006,Business Class,712.8,Tokyo,London
Yes,2,Dairy Free,2024-04-08,PA003,First Class,525.0,London,Perth
Yes,1,Vegetarian,2024-04-12,PA007,First Class,696.0,New York,Perth
Yes,0,Vegetarian,2024-09-03,PA004,Economy,3445.0,Perth,London
Yes,2,Egg Free,2024-11-02,PA008,First Class,242.0,Perth,New York
Yes,3,Vegan,2024-01-11,PA002,First Class,406.0,New York,London
Yes,0,Nut Free,2024-08-07,PA005,Business Class,739.1999999999999,London,Tokyo
Yes,3,Egg Free,2024-02-25,PA010,Economy,1495.0,Tokyo,New York
Yes,0,Vegetarian,2024-12-04,PA003,Economy,2820.0,London,Perth
Yes,2,,2024-02-13,PA005,First Class,693.0,London,Tokyo
Yes,2,,2024-03-23,PA005,Economy,3375.0,London,Tokyo
Yes,2,Nut Free,2024-10-09,PA012,Economy,1340.0,Tokyo,Perth
Yes,3,Dairy Free,2024-07-05,PA005,Premium Economy,1677.5,London,Tokyo
Yes,1,Vegan,2024-06-09,PA003,Business Class,432.0,London,Perth
Yes,1,Dairy Free,2024-04-16,PA010,Economy,3105.0,Tokyo,New York
Yes,3,Dairy Free,2024-08-19,PA001,Economy,2550.0,London,New York
Yes,3,Nut Free,2024-07-16,PA003,First Class,284.0,London,Perth
Yes,3,,2024-05-31,PA009,Economy,2450.0,New York,Tokyo
Yes,1,Vegan,2024-07-25,PA007,Business Class,573.6,New York,Perth
Yes,2,Dairy Free,2024-11-21,PA006,Economy,2270.0,Tokyo,London
Yes,0,Nut Free,2024-07-28,PA010,Premium Economy,1020.0,Tokyo,New York
Yes,3,Egg Free,2024-08-16,PA007,Premium Economy,1665.0,New York,Perth
Yes,3,Nut Free,2024-03-18,PA003,Business Class,615.6,London,Perth
Yes,0,Vegan,2024-09-21,PA002,Premium Economy,1175.0,New York,London
Yes,0,Egg Free,2024-07-05,PA001,Premium Economy,850.0,London,New York
Yes,0,Egg Free,2024-08-20,PA010,Premium Economy,1365.0,Tokyo,New York
Yes,3,Egg Free,2024-10-15,PA008,Business Class,386.4,Perth,New York
Yes,1,,2024-12-12,PA010,Business Class,793.1999999999999,Tokyo,New York
Yes,0,Dairy Free,2024-02-14,PA006,Business Class,270.0,Tokyo,London
Yes,1,Vegetarian,2024-11-23,PA003,Business Class,538.8,London,Perth
